VoteKit PreferenceProfile
Candidates
(Kelly Doyle:Kelly ),(Eric Zimmerman:Eric Z),(Mike DiNapoli:Mike D),(Bob Callahan:Bob Ca),(Kevin Goldsmith:Kevin ),(Michael Trimble:Michae),(Chloe Mason:Chloe ),(Bob Weinstein:Bob We),(Tony Morse:Tony M),(Raquel Coyote:Raquel),(Lisa Freeman:Lisa F),(Eli Arnold:Eli Ar),(Ciatta R Thompson:Ciatta),(Tony Schwartz:Tony S),(Olivia Clark:Olivia),(Chad Lykins:Chad L),(Andra Vltavin:Andra ),(Joseph (Joe) Alfone:Joseph),(Patrick Cashman:Patric),(Mitch Green:Mitch ),(Sarah Silkie:Sarah ),(Chris Henry:Chris ),(Ben Hufford:Ben Hu),(Brandon Farley:Brando),(L Christopher Regis:L Chri),(John Toran:John T),(Moses Ross:Moses ),(Stanley Penkin:Stanle),(John J Goldsmith:John J),(Lee Odell:Lee Od)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,{'Andra '},{'Chad L'},{'Chris '},{'Lisa F'},{'Chloe '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Ciatta'},{'Eric Z'},{'Chloe '},{'Olivia'},&,2/1,&
&,{'Andra '},{'Chad L'},{'Ciatta'},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Ciatta'},{'Mike D'},{'Sarah '},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Ciatta'},{'Sarah '},{'Lisa F'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Ciatta'},,,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Eric Z'},{'Eli Ar'},{'Mitch '},,&,2/1,&
&,{'Andra '},{'Chad L'},{'Eric Z'},{'Sarah '},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chad L'},{'John T'},{'Ciatta'},{'Chris '},,&,1/1,&
&,{'Andra '},{'Chad L'},{'John T'},{'Olivia'},{'Kevin '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Joseph'},{'Mitch '},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Bob We'},{'Tony M'},{'Moses '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Kevin '},{'Mitch '},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Michae'},{'Sarah '},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Michae'},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Mitch '},{'Mike D'},{'Michae'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Mitch '},{'Sarah '},{'Moses '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Mitch '},{'Tony M'},{'Eric Z'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Olivia'},{'Mitch '},{'Stanle'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Sarah '},{'Eric Z'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},{'Tony S'},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Lisa F'},,,,&,2/1,&
&,{'Andra '},{'Chad L'},{'Michae'},{'Lisa F'},{'Sarah '},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Michae'},{'Mitch '},{'Lisa F'},{'Sarah '},&,2/1,&
&,{'Andra '},{'Chad L'},{'Michae'},{'Mitch '},{'Stanle'},,&,1/1,&
&,{'Andra '},{'Chad L'},{'Michae'},{'Moses '},{'Chris '},{'Olivia'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mike D'},{'Ciatta'},{'Sarah '},{'Chloe '},&,2/1,&
&,{'Andra '},{'Chad L'},{'Mike D'},{'Lisa F'},{'Mitch '},{'Chris '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mike D'},{'Lisa F'},{'Mitch '},{'Michae'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mike D'},{'Mitch '},{'Sarah '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mike D'},,,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Chloe '},{'Moses '},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Ciatta'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Eric Z'},{'Sarah '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Lisa F'},{'Mike D'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Lisa F'},{'Sarah '},{'Moses '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Lisa F'},{'Sarah '},,&,2/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Moses '},{'Lisa F'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Olivia'},{'Chloe '},{'Kevin '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Olivia'},{'Sarah '},{'Chloe '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Sarah '},{'Lisa F'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},{'Sarah '},{'Mike D'},{'Chris '},&,2/1,&
&,{'Andra '},{'Chad L'},{'Mitch '},,,,&,2/1,&
&,{'Andra '},{'Chad L'},{'Moses '},{'Mitch '},{'Lisa F'},{'Ciatta'},&,2/1,&
&,{'Andra '},{'Chad L'},{'Olivia'},{'Chris '},{'Ciatta'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Olivia'},{'Mitch '},{'Ciatta'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Ciatta'},{'Raquel'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Ciatta'},,,&,2/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Lisa F'},{'Olivia'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Lisa F'},{'Stanle'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Lisa F'},{'Tony M'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Mike D'},{'Mitch '},,&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Mitch '},{'Lisa F'},{'Mike D'},&,2/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Mitch '},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Mitch '},{'Moses '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Olivia'},{'Chloe '},,&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Olivia'},{'Moses '},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},{'Stanle'},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Sarah '},,,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Stanle'},{'Kevin '},{'Bob We'},,&,1/1,&
&,{'Andra '},{'Chad L'},{'Tony M'},{'Bob We'},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Tony M'},{'Chris '},,,&,1/1,&
&,{'Andra '},{'Chad L'},{'Tony M'},{'Mike D'},{'Chris '},{'Olivia'},&,1/1,&
&,{'Andra '},{'Chad L'},,,,,&,2/1,&
&,{'Andra '},{'Chloe '},{'Ben Hu'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Bob We'},{'Ciatta'},{'Kevin '},{'John T'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Bob We'},{'Sarah '},{'Mitch '},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Bob We'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'Ciatta'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'Eric Z'},{'Bob We'},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'John T'},{'Michae'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'John T'},{'Raquel'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'Lisa F'},{'Moses '},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},{'Mitch '},{'Bob We'},{'Kevin '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Chad L'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Chris '},{'Mitch '},{'Chad L'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Chris '},{'Sarah '},{'Chad L'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'John T'},{'Chad L'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Joseph'},{'Tony M'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Olivia'},{'Raquel'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Olivia'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Sarah '},{'Joseph'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Sarah '},{'Kelly '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},{'Sarah '},{'Olivia'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Mike D'},{'Mitch '},{'Moses '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Mike D'},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Moses '},{'Mike D'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Olivia'},{'Eric Z'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Olivia'},{'Lisa F'},{'Kelly '},&,2/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Olivia'},{'Lisa F'},{'Sarah '},&,7/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Olivia'},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Patric'},{'Kelly '},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Patric'},{'Lisa F'},{'Eric Z'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Patric'},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Raquel'},{'Olivia'},{'Lisa F'},&,12/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Raquel'},{'Olivia'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Raquel'},{'Olivia'},{'Sarah '},&,3/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Raquel'},{'Patric'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},{'Lisa F'},{'Olivia'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},{'Lisa F'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},{'Mitch '},{'Mike D'},&,2/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},{'Olivia'},{'Kelly '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Sarah '},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},{'Tony M'},{'Lisa F'},{'Mike D'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Ciatta'},,,,&,2/1,&
&,{'Andra '},{'Chloe '},{'Eli Ar'},{'Sarah '},{'Olivia'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'John T'},{'Eric Z'},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'John T'},{'Mitch '},{'Chad L'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'John T'},{'Olivia'},{'Michae'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'John T'},{'Raquel'},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'John T'},{'Sarah '},{'Chris '},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Kelly '},{'Raquel'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Kevin '},{'Ciatta'},{'Chad L'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Ciatta'},{'Mitch '},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Ciatta'},{'Moses '},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Kelly '},{'Sarah '},{'Raquel'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Olivia'},{'Ciatta'},{'Raquel'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Olivia'},{'Sarah '},{'John T'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Sarah '},{'Ciatta'},{'Kelly '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},{'Sarah '},{'Moses '},{'Mike D'},&,2/1,&
&,{'Andra '},{'Chloe '},{'Lisa F'},,,,&,5/1,&
&,{'Andra '},{'Chloe '},{'Michae'},{'Joseph'},{'Stanle'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Michae'},{'Lisa F'},{'Mitch '},{'Chris '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Michae'},{'Olivia'},{'Lisa F'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Michae'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Mike D'},{'Mitch '},{'Stanle'},{'Tony M'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Mike D'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Mitch '},{'Chad L'},{'Mike D'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Mitch '},{'Sarah '},{'Ciatta'},{'Moses '},&,2/1,&
&,{'Andra '},{'Chloe '},{'Mitch '},{'Sarah '},{'Mike D'},{'John T'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Mitch '},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Moses '},{'Raquel'},{'Brando'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Ciatta'},{'Kelly '},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Kelly '},{'Sarah '},{'Raquel'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Lisa F'},{'Sarah '},{'Kelly '},&,2/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Sarah '},{'Lisa F'},{'Kelly '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Sarah '},{'Lisa F'},{'Moses '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},{'Sarah '},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Olivia'},,,,&,3/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Chris '},{'Mike D'},{'Eli Ar'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Ciatta'},{'Olivia'},{'Chris '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Ciatta'},{'Olivia'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Lisa F'},{'Kelly '},{'Tony S'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Brando'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Lisa F'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Lisa F'},{'Kelly '},&,2/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Lisa F'},{'Moses '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Lisa F'},{'Sarah '},&,4/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Sarah '},{'Chris '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Olivia'},{'Sarah '},{'Kelly '},&,4/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},{'Lisa F'},{'Sarah '},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Raquel'},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Ciatta'},{'John T'},,&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Ciatta'},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Kelly '},{'Olivia'},{'Lisa F'},&,2/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Mike D'},{'Olivia'},,&,2/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Moses '},{'Joseph'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Moses '},{'Lisa F'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Olivia'},{'Ciatta'},{'Lisa F'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},{'Olivia'},,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Sarah '},,,,&,1/1,&
&,{'Andra '},{'Chloe '},{'Tony M'},{'Sarah '},{'Moses '},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chloe '},{'Moses '},,,,&,1/1,&
&,{'Andra '},{'Chloe '},,,,,&,1/1,&
&,{'Andra '},{'Chloe '},,,,,&,5/1,&
&,{'Andra '},{'Chris '},{'Joseph'},{'Chloe '},{'Mike D'},{'Moses '},&,2/1,&
&,{'Andra '},{'Chris '},{'Joseph'},,,,&,1/1,&
&,{'Andra '},{'Chris '},{'Lisa F'},{'Mike D'},{'Chloe '},{'Eli Ar'},&,1/1,&
&,{'Andra '},{'Chris '},{'Lisa F'},{'Mitch '},{'Chad L'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chris '},{'Lisa F'},{'Mitch '},{'Sarah '},{'Chad L'},&,3/1,&
&,{'Andra '},{'Chris '},{'Lisa F'},{'Mitch '},,,&,1/1,&
&,{'Andra '},{'Chris '},{'Lisa F'},{'Sarah '},{'Tony S'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chris '},{'Michae'},{'Mike D'},{'Olivia'},{'Mitch '},&,1/1,&
&,{'Andra '},{'Chris '},{'Michae'},{'Sarah '},{'Lisa F'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Ciatta'},{'Chad L'},{'Sarah '},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'John T'},{'Ben Hu'},{'Bob Ca'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Joseph'},{'Ciatta'},{'Stanle'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Lisa F'},{'Sarah '},{'Chad L'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Lisa F'},{'Sarah '},{'Eric Z'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Lisa F'},,,&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Mike D'},{'Lisa F'},,&,2/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Sarah '},{'Joseph'},{'Ciatta'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Sarah '},{'Lisa F'},{'Chad L'},&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},{'Sarah '},,,&,1/1,&
&,{'Andra '},{'Chris '},{'Mitch '},,,,&,2/1,&
